run	dir	gen	clock	utc	uptime_s	ticks	sightings	person	bin	live	classes	person_track_ticks	person_dropped_ticks	jsonl_bytes	sha256_12
arm-log	history	-	uptime		782862	0	0	0	0	None	0	0	0	2427	747f39b00844
legs_A4	history	-	none			0	0	0	0	None	0	0	0	11988658	b8c2d949b2dc
legs_B3	history	-	none			0	0	0	0	None	0	0	0	12988448	5e28d22661e3
legs_B4	history	-	none			0	0	0	0	None	0	0	0	11899678	b9221a3b3605
legs_B5	history	-	none			0	0	0	0	None	0	0	0	11898728	12e470cc6713
legs_B6	history	-	none			0	0	0	0	None	0	0	0	11991543	e7c6254e7c5c
legs_B7	history	-	none			0	0	0	0	None	0	0	0	11644158	70471146a19e
A1	history	G0	uptime		327833	68	0	0	0	True	1	0	0	47820	78ca042292a0
A2	history	G0	uptime		328188	198	0	0	0	True	1	0	0	99076	27c802d56fc6
A3	history	G0	uptime		328318	72	0	0	0	True	1	0	0	51678	86c421fff2c3
A4	history	G0	uptime		328801	94	0	0	0	True	1	0	0	65064	0fa1bdbfa336
B3	history	G0	uptime		328677	27	0	0	0	True	1	0	0	19797	62b9e25ef07c
B6	history	G0	uptime		329570	58	0	0	0	True	1	0	0	41011	270cd8d800fa
chair2	history	G0	uptime		327351	33	0	0	0	True	1	0	0	24147	601287c44c29
dry_aim	history	G0	uptime		327326	97	0	0	0	False	1	0	0	69481	4119077c200b
dry_cal	history	G0	uptime		327001	118	0	0	0	False	1	0	0	86353	1bba08c093c1
dry_mappo	history	G0	uptime		326328	201	0	0	0	False	1	0	0	142858	148551a2f256
swerve-scene	history	G0	uptime		1280478	71	0	0	0	False	20	0	0	53543	d1ec98c3ffbc
demo	history	G1	epoch	2026-08-11T22:29:27Z		91	0	0	0	False	1	26	26	70077	55afc29d82b8
hero2	history	G1	epoch	2026-08-11T23:11:00Z		458	0	0	0	True	1	191	191	399813	397287723346
hero4	history	G1	epoch	2026-08-11T23:38:58Z		466	0	0	0	True	1	40	40	395958	2de2d56bce57
hero5	history	G1	epoch	2026-08-11T23:52:12Z		333	0	0	0	True	1	0	0	308440	be237e292ea9
hero6	history	G1	epoch	2026-08-11T23:54:08Z		122	0	0	0	True	1	15	15	113494	3673c7cb49fe
hero_run	history	G1	epoch	2026-08-11T22:56:50Z		454	0	0	0	True	1	106	106	479799	d33743f9c40e
B7	history	G2	uptime		330064	32	0	0	0	True	1	22	22	29450	799c01dd73ab
berth1	history	G2	uptime		677772	64	0	0	0	True	1	0	0	63661	66e5a7a38b8c
berth2-raw	history	G2	uptime		678032	78	0	0	0	True	1	0	0	78977	e6a12226c863
berth3-noservo	history	G2	uptime		678442	112	0	0	0	True	1	0	0	103432	c652cad7ccfc
run0	history	G2	uptime		583045	82	0	0	0	True	1	0	0	71681	ddfd17c27431
run1_mappo	history	G2	uptime		583208	72	0	0	0	True	1	0	0	60234	7d3086ed3210
run2_maxvy	history	G2	uptime		583576	29	0	0	0	True	1	0	0	24809	a20e15f4c60a
run3_dtfix	history	G2	uptime		584060	61	0	0	0	True	1	0	0	52014	ef810b5265db
run4_room	history	G2	uptime		584701	38	0	0	0	True	1	0	0	35204	3a71c2a28d37
run5_room	history	G2	uptime		584886	70	0	0	0	True	1	0	0	66436	120a0d933b36
scene	history	G2	uptime		767656	128	0	0	0	False	1	0	0	112674	e7610d01fed8
scene2	history	G2	uptime		768843	85	0	0	0	False	1	0	0	84851	71c1d4bc7ea0
scene3	history	G2	uptime		770117	91	0	0	0	False	1	0	0	76181	485efeabecd8
scene4	history	G2	uptime		774252	90	0	0	0	False	1	0	0	90249	43d1cc7fac2e
scene5	history	G2	uptime		775989	90	0	0	0	False	1	0	0	90207	10153fafe77b
thread1	history	G2	uptime		774892	77	0	0	0	True	1	0	0	73992	dd96992f471b
thread2	history	G2	uptime		776391	83	0	0	0	True	1	0	0	80317	56f04768f363
twobins1	history	G2	uptime		678916	59	0	0	0	True	1	0	0	60476	10ed042de08d
twobins10	history	G2	uptime		680495	46	0	0	0	True	1	0	0	46269	d4b6e1dfd099
twobins11	history	G2	uptime		680695	79	0	0	0	True	1	0	0	79342	1f9e26185cc5
twobins12	history	G2	uptime		681352	185	0	0	0	True	1	0	0	151146	21f211379b29
twobins13	history	G2	uptime		681458	212	0	0	0	True	1	24	24	217055	8219331e6684
twobins14	history	G2	uptime		681642	50	0	0	0	True	1	0	0	49977	4bb08eb0a015
twobins15	history	G2	uptime		681957	42	0	0	0	True	1	0	0	42158	1b72c362b191
twobins2	history	G2	uptime		679057	24	0	0	0	True	1	0	0	23124	6aed6c70e832
twobins3	history	G2	uptime		679203	183	0	0	0	True	1	0	0	149942	2dd4a5cca1c7
twobins4	history	G2	uptime		679628	185	0	0	0	True	1	0	0	150985	72b9e7b54d40
twobins5	history	G2	uptime		679819	49	0	0	0	True	1	0	0	50672	3fd9846b3fb4
twobins6	history	G2	uptime		679955	31	0	0	0	True	1	0	0	30664	50cfb4ec15ec
twobins7	history	G2	uptime		680193	49	0	0	0	True	1	0	0	49568	424b0cf31906
twobins8	history	G2	uptime		680305	85	0	0	0	True	1	0	0	82449	cb6a95758a8f
twobins9	history	G2	uptime		680359	45	0	0	0	True	1	0	0	45129	844339b50558
chair1	history	G3	uptime		845587	193	386	0	386	True	1	0	0	231129	29cf661eb3a0
