walk	frame	person	cardboard	doorframe	bin
walk-frames-010001Z	0	yes	yes	yes	yes
walk-frames-010001Z	10	yes	yes	yes	yes
walk-frames-010001Z	20	yes	yes	yes	yes
walk-frames-010001Z	30	yes	yes	yes	yes
walk-frames-010001Z	40	yes	yes	yes	yes
walk-frames-010001Z	50	yes	yes	yes	yes
walk-frames-010001Z	60	yes	yes	yes	yes
walk-frames-010001Z	70	yes	yes	yes	yes
walk-frames-010001Z	80	yes	yes	yes	yes
walk-frames-010001Z	90	yes	yes	yes	yes
walk-frames-010001Z	100	yes	yes	yes	yes
walk-frames-010001Z	110	yes	yes	yes	yes
walk-frames-010001Z	120	yes	yes	yes	yes
walk-frames-010001Z	130	yes	yes	yes	yes
walk-frames-010001Z	140	yes	yes	yes	yes
walk-frames-010001Z	150	yes	yes	yes	yes
walk-frames-010001Z	160	yes	yes	yes	yes
walk-frames-010001Z	170	yes	yes	yes	yes
walk-frames-010001Z	180	yes	yes	yes	yes
walk-frames-010001Z	190	yes	yes	yes	yes
walk-frames-010001Z	200	yes	yes	yes	yes
walk-frames-010001Z	210	yes	yes	yes	yes
walk-frames-010001Z	220	yes	yes	yes	yes
walk-frames-010001Z	230	yes	yes	yes	yes
walk-frames-010001Z	240	yes	yes	yes	yes
walk-frames-010001Z	250	yes	yes	yes	yes
walk-frames-010001Z	260	yes	yes	yes	yes
walk-frames-010001Z	270	yes	yes	yes	yes
walk-frames-010001Z	280	yes	yes	yes	yes
walk-frames-010001Z	290	yes	yes	yes	yes
walk-frames-010001Z	300	yes	yes	yes	yes
walk-frames-010001Z	310	yes	yes	yes	yes
walk-frames-010001Z	320	yes	yes	yes	yes
walk-frames-010001Z	330	yes	yes	yes	yes
walk-frames-010001Z	340	yes	yes	yes	yes
walk-frames-010001Z	350	yes	yes	yes	yes
walk-frames-010001Z	360	yes	yes	yes	yes
walk-frames-010001Z	370	yes	yes	yes	yes
walk-frames-010001Z	380	yes	yes	yes	yes
walk-frames-010001Z	390	yes	yes	yes	yes
walk-frames-010001Z	400	yes	yes	yes	yes
walk-frames-010001Z	410	yes	yes	yes	yes
walk-frames-010001Z	420	yes	yes	yes	yes
walk-frames-010001Z	430	yes	yes	yes	yes
walk-frames-010001Z	440	yes	yes	yes	yes
walk-frames-010001Z	450	yes	yes	yes	yes
walk-frames-010001Z	460	yes	yes	yes	yes
walk-frames-010001Z	470	yes	yes	yes	yes
walk-frames-010001Z	480	no	yes	yes	yes
walk-frames-010001Z	490	no	yes	yes	yes
walk2-frames-010143Z	0	yes	yes	yes	yes
walk2-frames-010143Z	10	yes	yes	yes	yes
walk2-frames-010143Z	20	yes	yes	yes	yes
walk2-frames-010143Z	30	yes	yes	yes	yes
walk2-frames-010143Z	40	yes	yes	yes	yes
walk2-frames-010143Z	50	yes	yes	yes	yes
walk2-frames-010143Z	60	yes	yes	yes	yes
walk2-frames-010143Z	70	yes	yes	yes	yes
walk2-frames-010143Z	80	yes	yes	yes	yes
walk2-frames-010143Z	90	yes	yes	yes	yes
walk2-frames-010143Z	100	yes	yes	yes	yes
walk2-frames-010143Z	110	yes	yes	yes	yes
walk2-frames-010143Z	120	yes	yes	yes	yes
walk2-frames-010143Z	130	yes	yes	yes	yes
walk2-frames-010143Z	140	yes	yes	yes	yes
walk2-frames-010143Z	150	yes	yes	yes	yes
walk2-frames-010143Z	160	yes	yes	yes	yes
walk2-frames-010143Z	170	yes	yes	yes	yes
walk2-frames-010143Z	180	yes	yes	yes	yes
walk2-frames-010143Z	190	yes	yes	yes	yes
walk2-frames-010143Z	200	yes	yes	yes	yes
walk2-frames-010143Z	210	yes	yes	yes	yes
walk2-frames-010143Z	220	yes	yes	yes	yes
walk2-frames-010143Z	230	yes	yes	yes	yes
walk2-frames-010143Z	240	yes	yes	yes	yes
walk2-frames-010143Z	250	yes	yes	yes	yes
walk2-frames-010143Z	260	yes	yes	yes	yes
walk2-frames-010143Z	270	yes	yes	yes	yes
walk2-frames-010143Z	280	yes	yes	yes	yes
walk2-frames-010143Z	290	yes	yes	yes	yes
walk2-frames-010143Z	300	yes	yes	yes	yes
walk2-frames-010143Z	310	yes	yes	yes	yes
walk2-frames-010143Z	320	yes	yes	yes	yes
walk2-frames-010143Z	330	yes	yes	yes	yes
walk2-frames-010143Z	340	yes	yes	yes	yes
walk2-frames-010143Z	350	yes	yes	yes	yes
walk2-frames-010143Z	360	yes	yes	yes	yes
walk2-frames-010143Z	370	yes	yes	yes	yes
walk2-frames-010143Z	380	yes	yes	yes	yes
walk2-frames-010143Z	390	yes	yes	yes	yes
walk2-frames-010143Z	400	yes	yes	yes	yes
walk2-frames-010143Z	410	yes	yes	yes	yes
walk2-frames-010143Z	420	no	yes	yes	yes
walk2-frames-010143Z	430	no	yes	yes	yes
walk2-frames-010143Z	440	no	yes	yes	yes
walk2-frames-010143Z	450	no	yes	yes	yes
walk2-frames-010143Z	460	no	yes	yes	yes
walk2-frames-010143Z	470	no	yes	yes	yes
walk2-frames-010143Z	480	no	yes	yes	yes
walk2-frames-010143Z	490	no	yes	yes	yes
walk3-frames-010613Z	0	yes	yes	yes	yes
walk3-frames-010613Z	10	yes	yes	yes	yes
walk3-frames-010613Z	20	yes	yes	yes	yes
walk3-frames-010613Z	30	yes	yes	yes	yes
walk3-frames-010613Z	40	yes	yes	yes	yes
walk3-frames-010613Z	50	yes	yes	yes	yes
walk3-frames-010613Z	60	yes	yes	yes	yes
walk3-frames-010613Z	70	yes	yes	yes	yes
walk3-frames-010613Z	80	yes	yes	yes	yes
walk3-frames-010613Z	90	yes	yes	yes	yes
walk3-frames-010613Z	100	yes	yes	yes	yes
walk3-frames-010613Z	110	yes	yes	yes	yes
walk3-frames-010613Z	120	yes	yes	yes	yes
walk3-frames-010613Z	130	yes	yes	yes	yes
walk3-frames-010613Z	140	yes	yes	yes	yes
walk3-frames-010613Z	150	yes	yes	yes	yes
walk3-frames-010613Z	160	yes	yes	yes	no
walk3-frames-010613Z	170	yes	yes	yes	no
walk3-frames-010613Z	180	yes	yes	yes	no
walk3-frames-010613Z	190	yes	yes	yes	no
walk3-frames-010613Z	200	yes	yes	yes	no
walk3-frames-010613Z	210	no	yes	yes	no
walk3-frames-010613Z	220	no	yes	unsure	no
walk3-frames-010613Z	230	no	yes	unsure	no
walk3-frames-010613Z	240	no	yes	unsure	no
walk3-frames-010613Z	250	no	yes	unsure	no
walk3-frames-010613Z	260	no	yes	unsure	no
walk3-frames-010613Z	270	no	yes	unsure	no
walk3-frames-010613Z	280	no	yes	unsure	no
walk3-frames-010613Z	290	no	yes	unsure	no
walk3-frames-010613Z	300	no	yes	unsure	no
walk3-frames-010613Z	310	no	yes	unsure	no
walk3-frames-010613Z	320	no	yes	unsure	no
walk3-frames-010613Z	330	no	yes	unsure	no
walk3-frames-010613Z	340	no	yes	unsure	no
walk3-frames-010613Z	350	no	yes	unsure	no
walk3-frames-010613Z	360	no	yes	unsure	no
walk3-frames-010613Z	370	no	yes	unsure	no
walk3-frames-010613Z	380	no	yes	unsure	no
walk3-frames-010613Z	390	no	yes	unsure	no
walk3-frames-010613Z	400	no	yes	unsure	no
walk3-frames-010613Z	410	no	yes	unsure	no
walk3-frames-010613Z	420	no	yes	unsure	no
walk3-frames-010613Z	430	no	yes	unsure	no
walk3-frames-010613Z	440	no	yes	unsure	no
walk3-frames-010613Z	450	no	yes	unsure	no
walk3-frames-010613Z	460	no	yes	unsure	no
walk3-frames-010613Z	470	no	yes	unsure	no
walk3-frames-010613Z	480	no	yes	unsure	no
walk3-frames-010613Z	490	no	yes	unsure	no
walk3-frames-010613Z	500	no	yes	unsure	no
walk3-frames-010613Z	510	no	yes	unsure	no
walk3-frames-010613Z	520	no	yes	unsure	no
walk3-frames-010613Z	530	no	yes	unsure	no
walk4-frames-011616Z	0	yes	yes	yes	yes
walk4-frames-011616Z	10	yes	yes	yes	yes
walk4-frames-011616Z	20	yes	yes	yes	yes
walk4-frames-011616Z	30	yes	yes	yes	yes
walk4-frames-011616Z	40	yes	yes	yes	yes
walk4-frames-011616Z	50	yes	yes	yes	yes
walk4-frames-011616Z	60	yes	yes	yes	yes
walk4-frames-011616Z	70	yes	yes	yes	yes
walk4-frames-011616Z	80	yes	yes	yes	yes
walk4-frames-011616Z	90	yes	yes	yes	yes
walk4-frames-011616Z	100	yes	yes	yes	yes
walk4-frames-011616Z	110	yes	yes	yes	yes
walk4-frames-011616Z	120	yes	yes	yes	yes
walk4-frames-011616Z	130	yes	yes	yes	yes
walk4-frames-011616Z	140	yes	yes	yes	yes
walk4-frames-011616Z	150	yes	yes	yes	yes
walk4-frames-011616Z	160	yes	yes	yes	yes
walk4-frames-011616Z	170	yes	yes	yes	yes
walk4-frames-011616Z	180	yes	yes	yes	yes
walk4-frames-011616Z	190	yes	yes	yes	yes
walk4-frames-011616Z	200	yes	yes	yes	yes
walk4-frames-011616Z	210	no	yes	yes	yes
walk4-frames-011616Z	220	no	yes	yes	yes
walk4-frames-011616Z	230	no	yes	yes	yes
walk4-frames-011616Z	240	no	yes	yes	yes
walk4-frames-011616Z	250	no	yes	yes	yes
walk4-frames-011616Z	260	no	yes	yes	yes
walk4-frames-011616Z	270	no	yes	yes	yes
walk4-frames-011616Z	280	no	yes	yes	yes
walk4-frames-011616Z	290	no	yes	yes	yes
walk4-frames-011616Z	300	no	yes	yes	yes
walk4-frames-011616Z	310	no	yes	yes	yes
walk4-frames-011616Z	320	no	yes	yes	yes
walk4-frames-011616Z	330	no	yes	yes	yes
walk4-frames-011616Z	340	yes	yes	yes	yes
walk4-frames-011616Z	350	yes	yes	yes	yes
walk4-frames-011616Z	360	yes	yes	yes	yes
walk4-frames-011616Z	370	yes	yes	yes	yes
walk4-frames-011616Z	380	yes	yes	yes	yes
walk4-frames-011616Z	390	yes	yes	yes	yes
walk4-frames-011616Z	400	yes	yes	yes	yes
walk4-frames-011616Z	410	yes	yes	yes	yes
walk4-frames-011616Z	420	yes	yes	yes	yes
walk4-frames-011616Z	430	yes	yes	yes	yes
walk4-frames-011616Z	440	yes	yes	yes	yes
walk5-frames-012701Z	0	yes	yes	yes	yes
walk5-frames-012701Z	10	yes	yes	yes	yes
walk5-frames-012701Z	20	yes	yes	yes	yes
walk5-frames-012701Z	30	yes	yes	yes	yes
walk5-frames-012701Z	40	yes	yes	yes	yes
walk5-frames-012701Z	50	yes	yes	yes	yes
walk5-frames-012701Z	60	yes	yes	yes	yes
walk5-frames-012701Z	70	yes	yes	yes	yes
walk5-frames-012701Z	80	yes	yes	yes	yes
walk5-frames-012701Z	90	yes	yes	yes	yes
walk5-frames-012701Z	100	yes	yes	yes	yes
walk5-frames-012701Z	110	yes	yes	yes	yes
walk5-frames-012701Z	120	yes	yes	yes	yes
walk5-frames-012701Z	130	yes	yes	yes	yes
walk5-frames-012701Z	140	yes	yes	yes	yes
walk5-frames-012701Z	150	yes	yes	yes	yes
walk5-frames-012701Z	160	yes	yes	yes	yes
walk5-frames-012701Z	170	yes	yes	yes	yes
walk5-frames-012701Z	180	yes	yes	yes	yes
walk5-frames-012701Z	190	yes	yes	yes	yes
walk5-frames-012701Z	200	yes	yes	yes	yes
walk5-frames-012701Z	210	yes	yes	yes	yes
walk5-frames-012701Z	220	yes	yes	yes	yes
walk5-frames-012701Z	230	yes	yes	yes	yes
walk5-frames-012701Z	240	yes	yes	yes	yes
walk5-frames-012701Z	250	yes	yes	yes	yes
walk5-frames-012701Z	260	yes	yes	yes	yes
walk5-frames-012701Z	270	yes	yes	yes	yes
walk5-frames-012701Z	280	yes	yes	yes	yes
walk5-frames-012701Z	290	yes	yes	yes	yes
walk5-frames-012701Z	300	yes	yes	yes	yes
walk5-frames-012701Z	310	yes	yes	yes	yes
walk5-frames-012701Z	320	no	yes	yes	yes
walk5-frames-012701Z	330	no	yes	yes	yes
walk5-frames-012701Z	340	no	yes	yes	yes
walk5-frames-012701Z	350	no	yes	yes	yes
walk5-frames-012701Z	360	no	yes	yes	yes
walk5-frames-012701Z	370	no	yes	yes	yes
walk5-frames-012701Z	380	no	yes	yes	yes
walk5-frames-012701Z	390	no	yes	yes	yes
walk5-frames-012701Z	400	no	yes	yes	yes
walk5-frames-012701Z	410	no	yes	yes	yes
walk5-frames-012701Z	420	no	yes	yes	yes
walk5-frames-012701Z	430	no	yes	yes	yes
walk5-frames-012701Z	440	no	yes	yes	yes
walk5-frames-012701Z	450	no	yes	yes	yes
walk5-frames-012701Z	460	no	yes	yes	yes
walk5-frames-012701Z	470	no	yes	yes	yes
walk5-frames-012701Z	480	no	yes	yes	yes
walk5-frames-012701Z	490	no	yes	yes	yes
walk5-frames-012701Z	500	no	yes	yes	yes
